Unnamed: 0,index,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores,top_1_deputy,top_2_deputy,top_3_deputy,top_4_deputy,top_5_deputy,top_6_deputy,top_7_deputy,top_8_deputy,top_9_deputy,top_10_deputy,distance,first_name,gender
0,0,204521,https://dadosabertos.camara.leg.br/api/v2/deputados/204521,Abou Anni,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204521.jpg,-0.2911510467529297,-0.1007311046123504,0.1578886806964874,#8B4513,194.0,217.0,88.0,351.0,99.0,72.0,161.0,138.0,37.0,122.0,0.3461856769911607,Abou,Masculino
1,1,204528,https://dadosabertos.camara.leg.br/api/v2/deputados/204528,Adriana Ventura,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204528.jpg,-0.4057908058166504,0.1774847507476806,-0.1185766607522964,#004445,16.0,144.0,213.0,228.0,287.0,349.0,360.0,,,,0.4585056589710294,Adriana,Feminino
2,2,121948,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,Adriano do Baldy,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,https://www.camara.gov.br/internet/deputado/bandep/121948.jpg,0.2693116366863251,-0.2412644475698471,-0.0542295835912227,#00BFFF,217.0,194.0,91.0,351.0,273.0,184.0,322.0,72.0,427.0,138.0,0.3656202114931942,Adriano,Masculino
3,3,74646,https://dadosabertos.camara.leg.br/api/v2/deputados/74646,Aécio Neves,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,56,https://www.camara.gov.br/internet/deputado/bandep/74646.jpg,0.3042627871036529,-0.1701312959194183,0.1993417292833328,#0072C6,,,,,,,,,,,0.4015689560971727,Aécio,Masculino
4,4,141372,https://dadosabertos.camara.leg.br/api/v2/deputados/141372,Aelton Freitas,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,https://www.camara.gov.br/internet/deputado/bandep/141372.jpg,0.2980543673038482,-0.2480339556932449,0.0836678966879844,#00BFFF,217.0,351.0,,,,,,,,,0.3966832060749825,Aelton,Masculino
5,5,204495,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,Airton Faleiro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,56,https://www.camara.gov.br/internet/deputado/bandep/204495.jpg,0.3792897760868072,0.4126404821872711,0.0134866796433925,#FF0000,54.0,114.0,116.0,155.0,267.0,281.0,288.0,327.0,,,0.5606378441663811,Airton,Masculino
6,6,204549,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,AJ Albuquerque,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,CE,56,https://www.camara.gov.br/internet/deputado/bandep/204549.jpg,-0.2475808411836624,-0.1982301473617553,0.1877032667398452,#00BFFF,273.0,194.0,217.0,72.0,351.0,123.0,423.0,130.0,322.0,2.0,0.3685430512017321,AJ,Masculino
7,7,204413,https://dadosabertos.camara.leg.br/api/v2/deputados/204413,Alcides Rodrigues,PATRIOTA,https://dadosabertos.camara.leg.br/api/v2/partidos/37907,GO,56,https://www.camara.gov.br/internet/deputado/bandep/204413.jpg,-0.0913648232817649,-0.1310014426708221,-0.184785857796669,#4B0082,217.0,194.0,384.0,117.0,99.0,138.0,201.0,431.0,150.0,220.0,0.2442431619448037,Alcides,Masculino
8,8,204545,https://dadosabertos.camara.leg.br/api/v2/deputados/204545,Alê Silva,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204545.jpg,-0.170835480093956,-0.3295021951198578,-0.0055605475790798,#FF7F00,275.0,423.0,192.0,48.0,99.0,150.0,210.0,77.0,138.0,117.0,0.3711972218876597,Alê,Masculino
9,9,204501,https://dadosabertos.camara.leg.br/api/v2/deputados/204501,Alencar Santana,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204501.jpg,-0.2146150171756744,0.4944962561130523,0.1530223786830902,#FF0000,,,,,,,,,,,0.5603588147651213,Alencar,Masculino
10,10,160511,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,Alessandro Molon,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/160511.jpg,-0.1063300743699073,0.5117992758750916,0.0270541775971651,#FFD700,40.0,231.0,304.0,344.0,494.0,,,,,,0.5234276569185441,Alessandro,Masculino
11,11,204571,https://dadosabertos.camara.leg.br/api/v2/deputados/204571,Alex Santana,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,BA,56,https://www.camara.gov.br/internet/deputado/bandep/204571.jpg,-0.4020314514636993,-0.0463736690580844,0.0317018777132034,#FF7F00,275.0,423.0,,,,,,,,,0.4059369584042089,Alex,Masculino
12,12,105534,https://dadosabertos.camara.leg.br/api/v2/deputados/105534,Alexandre Figueiredo,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SE,56,https://www.camara.gov.br/internet/deputado/bandep/105534.jpg,-0.0211173631250858,-0.4260917007923126,0.4831913411617279,#BDB76B,,,,,,,,,,,0.644572689991681,Alexandre,Feminino
13,13,204544,https://dadosabertos.camara.leg.br/api/v2/deputados/204544,Alexandre Frota,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204544.jpg,0.3512915968894958,0.242958977818489,0.2068445533514022,#0072C6,,,,,,,,,,,0.474572987220004,Alexandre,Feminino
14,14,160545,https://dadosabertos.camara.leg.br/api/v2/deputados/160545,Alexandre Leite,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.gov.br/internet/deputado/bandep/160545.jpg,-0.253813087940216,-0.2721992135047912,0.0149957258254289,#8B4513,,,,,,,,,,,0.3724759955156925,Alexandre,Feminino
15,15,204503,https://dadosabertos.camara.leg.br/api/v2/deputados/204503,Alexandre Padilha,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204503.jpg,0.2983345687389374,0.3607334196567535,0.1559768766164779,#FF0000,354.0,54.0,469.0,40.0,27.0,310.0,34.0,207.0,114.0,267.0,0.493417572651132,Alexandre,Feminino
16,16,204516,https://dadosabertos.camara.leg.br/api/v2/deputados/204516,Alexis Fonteyne,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204516.jpg,-0.250149130821228,0.2096125781536102,-0.3038123250007629,#004445,1.0,144.0,213.0,228.0,287.0,349.0,360.0,,,,0.4458855788127581,Alexis,Desconhecido
17,17,74057,https://dadosabertos.camara.leg.br/api/v2/deputados/74057,Alice Portugal,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,BA,56,https://www.camara.gov.br/internet/deputado/bandep/74057.jpg,-0.2699462473392486,0.4379076957702636,-0.0005220051971264,#FF69B4,54.0,267.0,304.0,305.0,326.0,451.0,469.0,475.0,494.0,,0.5144262813628308,Alice,Feminino
18,18,178927,https://dadosabertos.camara.leg.br/api/v2/deputados/178927,Aliel Machado,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,PR,56,https://www.camara.gov.br/internet/deputado/bandep/178927.jpg,0.4740376770496368,0.2465027123689651,0.2323870360851287,#00FF7F,,,,,,,,,,,0.5826482995841517,Aliel,Masculino
19,19,204353,https://dadosabertos.camara.leg.br/api/v2/deputados/204353,Aline Gurgel,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,AP,56,https://www.camara.gov.br/internet/deputado/bandep/204353.jpg,0.0938443467020988,-0.0539056472480297,-0.3129037022590637,#FF7F00,,,,,,,,,,,0.3310910858066123,Aline,Feminino
20,20,204400,https://dadosabertos.camara.leg.br/api/v2/deputados/204400,Aline Sleutjes,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,PR,56,https://www.camara.gov.br/internet/deputado/bandep/204400.jpg,0.0756072849035263,-0.2700419723987579,-0.1335770189762115,#00CED1,220.0,176.0,332.0,234.0,99.0,201.0,118.0,138.0,384.0,37.0,0.3106154348806023,Aline,Feminino
21,21,178881,https://dadosabertos.camara.leg.br/api/v2/deputados/178881,Aluisio Mendes,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,MA,56,https://www.camara.gov.br/internet/deputado/bandep/178881.jpg,-0.1437865942716598,-0.2497466951608657,0.2882296741008758,#FF1493,217.0,351.0,194.0,99.0,37.0,138.0,220.0,72.0,201.0,273.0,0.40758353925093,Aluisio,Masculino
22,22,74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,André de Paula,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PE,56,https://www.camara.gov.br/internet/deputado/bandep/74471.jpg,-0.4190621972084045,0.1283735334873199,0.0633275806903839,#BDB76B,,,,,,,,,,,0.4428354905664775,André,Masculino
23,23,133439,https://dadosabertos.camara.leg.br/api/v2/deputados/133439,André Figueiredo,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,56,https://www.camara.gov.br/internet/deputado/bandep/133439.jpg,0.1391362398862838,0.2748546004295349,0.3253245055675506,#2E8B57,103.0,208.0,248.0,253.0,315.0,401.0,498.0,,,,0.4480401528320247,André,Masculino
24,24,204515,https://dadosabertos.camara.leg.br/api/v2/deputados/204515,André Janones,AVANTE,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204515.jpg,0.261603444814682,0.2422852665185928,-0.1449683904647827,#DC143C,,,,,,,,,,,0.3849082318486364,André,Masculino
25,25,73696,https://dadosabertos.camara.leg.br/api/v2/deputados/73696,Angela Amin,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SC,56,https://www.camara.gov.br/internet/deputado/bandep/73696.jpg,-0.2600453794002533,-0.0376224629580974,-0.1280091851949691,#00BFFF,194.0,217.0,220.0,351.0,,,,,,,0.292276240157723,Angela,Feminino
26,26,123756,https://dadosabertos.camara.leg.br/api/v2/deputados/123756,Antônia Lúcia,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,AC,56,https://www.camara.gov.br/internet/deputado/bandep/123756.jpg,-0.1928073912858963,-1.0,0.2226954996585846,#FF7F00,,,,,,,,,,,1.042481642861235,Antônia,Feminino
27,27,73433,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,Arlindo Chinaglia,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,https://www.camara.gov.br/internet/deputado/bandep/73433.jpg,0.034121785312891,0.5387666821479797,0.2966486513614654,#FF0000,40.0,54.0,34.0,15.0,354.0,260.0,155.0,204.0,469.0,114.0,0.6159823507051623,Arlindo,Masculino
28,28,141391,https://dadosabertos.camara.leg.br/api/v2/deputados/141391,Arnaldo Jardim,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905,SP,56,https://www.camara.gov.br/internet/deputado/bandep/141391.jpg,0.2638299167156219,0.0384270027279853,-0.1741649210453033,#FFC0CB,,,,,,,,,,,0.3184592269279465,Arnaldo,Masculino
29,29,74090,https://dadosabertos.camara.leg.br/api/v2/deputados/74090,Átila Lins,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,AM,56,https://www.camara.gov.br/internet/deputado/bandep/74090.jpg,-0.2224828600883484,0.0755950286984443,-0.3553715944290161,#BDB76B,,,,,,,,,,,0.4260307518525292,Átila,Masculino
30,30,204509,https://dadosabertos.camara.leg.br/api/v2/deputados/204509,Áurea Carolina,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204509.jpg,0.1922039091587066,0.5858060717582703,-0.3115549683570862,#800080,,,,,,,,,,,0.690780424384427,Áurea,Feminino
31,31,160512,https://dadosabertos.camara.leg.br/api/v2/deputados/160512,Aureo Ribeiro,SOLIDARIEDADE,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/160512.jpg,0.1496399492025375,-0.0477694384753704,0.1755587011575698,#ADD8E6,99.0,201.0,217.0,,,,,,,,0.2355735367177797,Aureo,Masculino
32,32,69871,https://dadosabertos.camara.leg.br/api/v2/deputados/69871,Bacelar,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,BA,56,https://www.camara.gov.br/internet/deputado/bandep/69871.jpg,0.317594438791275,0.2597986161708832,0.3136032223701477,#00FF7F,,,,,,,,,,,0.5164383115110566,Bacelar,Masculino
33,33,73701,https://dadosabertos.camara.leg.br/api/v2/deputados/73701,Benedita da Silva,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/73701.jpg,-0.0184039957821369,0.40126433968544,0.5005142092704773,#FF0000,,,,,,,,,,,0.6417680663959466,Benedita,Feminino
34,34,141335,https://dadosabertos.camara.leg.br/api/v2/deputados/141335,Beto Faro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,56,https://www.camara.gov.br/internet/deputado/bandep/141335.jpg,0.1669933050870895,0.5733753442764282,0.1012683436274528,#FF0000,54.0,137.0,260.0,27.0,469.0,155.0,114.0,267.0,320.0,15.0,0.605723804046919,Beto,Masculino
35,35,204358,https://dadosabertos.camara.leg.br/api/v2/deputados/204358,Beto Pereira,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MS,56,https://www.camara.gov.br/internet/deputado/bandep/204358.jpg,-0.1890652477741241,0.0034274808131158,0.2708312571048736,#0072C6,,,,,,,,,,,0.3303134653107883,Beto,Masculino
36,36,204374,https://dadosabertos.camara.leg.br/api/v2/deputados/204374,Bia Kicis,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,DF,56,https://www.camara.gov.br/internet/deputado/bandep/204374.jpg,-0.1440502554178238,-0.3182115256786346,-0.0287672560662031,#8B0000,220.0,176.0,234.0,50.0,332.0,227.0,195.0,99.0,377.0,150.0,0.3504805360961477,Bia,Feminino
37,37,204388,https://dadosabertos.camara.leg.br/api/v2/deputados/204388,Bibo Nunes,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RS,56,https://www.camara.gov.br/internet/deputado/bandep/204388.jpg,0.1060160771012306,-0.3180515468120575,0.1593149304389953,#8B0000,150.0,138.0,99.0,234.0,220.0,68.0,122.0,217.0,194.0,379.0,0.3711838386760102,Bibo,Masculino
38,38,141513,https://dadosabertos.camara.leg.br/api/v2/deputados/141513,Bilac Pinto,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,MG,56,https://www.camara.gov.br/internet/deputado/bandep/141513.jpg,0.1746935397386551,-0.302737832069397,0.2452722191810608,#8B4513,,,,,,,,,,,0.4269970600536985,Bilac,Masculino
39,39,204561,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,Bira do Pindaré,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,MA,56,https://www.camara.gov.br/internet/deputado/bandep/204561.jpg,0.1695907413959503,0.555332362651825,-0.0570754371583461,#FFD700,141.0,231.0,304.0,494.0,,,,,,,0.5834489335858816,Bira,Feminino
40,40,160538,https://dadosabertos.camara.leg.br/api/v2/deputados/160538,Bohn Gass,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,56,https://www.camara.gov.br/internet/deputado/bandep/160538.jpg,-0.0540474094450473,0.472964197397232,0.1860716640949249,#FF0000,27.0,54.0,15.0,469.0,354.0,52.0,34.0,114.0,204.0,137.0,0.5111153672766874,Bohn,Masculino
41,41,204502,https://dadosabertos.camara.leg.br/api/v2/deputados/204502,Bozzella,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204502.jpg,-0.2723051905632019,0.1741254925727844,-0.1901046186685562,#8B4513,,,,,,,,,,,0.3749794261162786,Bozzella,Feminino
42,42,93083,https://dadosabertos.camara.leg.br/api/v2/deputados/93083,Cacá Leão,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,BA,56,https://www.camara.gov.br/internet/deputado/bandep/93083.jpg,0.0012420809362083,-0.1146304830908775,-0.0776343643665313,#00BFFF,,,,,,,,,,,0.1384513811751092,Cacá,Desconhecido
43,43,204352,https://dadosabertos.camara.leg.br/api/v2/deputados/204352,Camilo Capiberibe,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,AP,56,https://www.camara.gov.br/internet/deputado/bandep/204352.jpg,0.1895587742328643,0.4461117386817932,-0.1598375886678695,#FFD700,304.0,344.0,494.0,,,,,,,,0.5103883492297974,Camilo,Masculino
44,44,178829,https://dadosabertos.camara.leg.br/api/v2/deputados/178829,Capitão Augusto,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,56,https://www.camara.gov.br/internet/deputado/bandep/178829.jpg,-0.1164084821939468,-0.2641226947307586,-0.1776646077632904,#8B0000,234.0,220.0,150.0,37.0,176.0,68.0,138.0,99.0,157.0,122.0,0.338934278954224,Capitão,Masculino
45,45,213762,https://dadosabertos.camara.leg.br/api/v2/deputados/213762,Carla Dickson,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,RN,56,https://www.camara.gov.br/internet/deputado/bandep/213762.jpg,-0.2774040400981903,-0.3218095898628235,0.02103853225708,#8B4513,99.0,138.0,423.0,275.0,201.0,125.0,194.0,150.0,37.0,210.0,0.4253904482120035,Carla,Feminino
46,46,204507,https://dadosabertos.camara.leg.br/api/v2/deputados/204507,Carla Zambelli,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204507.jpg,-0.0268852543085813,-0.3923617601394653,0.0237307008355855,#8B0000,332.0,77.0,220.0,234.0,384.0,195.0,176.0,149.0,76.0,138.0,0.3939970988232329,Carla,Feminino
47,47,141401,https://dadosabertos.camara.leg.br/api/v2/deputados/141401,Carlos Bezerra,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MT,56,https://www.camara.gov.br/internet/deputado/bandep/141401.jpg,0.4322666823863983,-0.0733033046126365,0.2236321866512298,#006400,,,,,,,,,,,0.4921780308738768,Carlos,Masculino
48,48,178962,https://dadosabertos.camara.leg.br/api/v2/deputados/178962,Carlos Gomes,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RS,56,https://www.camara.gov.br/internet/deputado/bandep/178962.jpg,-0.0773250013589859,-0.0547019056975841,0.3127407431602478,#FF7F00,275.0,423.0,210.0,192.0,180.0,217.0,99.0,138.0,142.0,194.0,0.3267693785447753,Carlos,Masculino
49,49,178993,https://dadosabertos.camara.leg.br/api/v2/deputados/178993,Carlos Henrique Gaguim,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,TO,56,https://www.camara.gov.br/internet/deputado/bandep/178993.jpg,-0.19794662296772,-0.0192774273455142,0.1309868693351745,#8B4513,201.0,194.0,111.0,217.0,99.0,351.0,138.0,150.0,37.0,184.0,0.2381429081195078,Carlos,Masculino
50,50,204460,https://dadosabertos.camara.leg.br/api/v2/deputados/204460,Carlos Jordy,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204460.jpg,-0.0440657176077365,-0.3477270007133484,-0.1498453021049499,#8B0000,220.0,234.0,227.0,99.0,138.0,176.0,332.0,150.0,37.0,36.0,0.3811947914863337,Carlos,Masculino
51,51,204426,https://dadosabertos.camara.leg.br/api/v2/deputados/204426,Carlos Veras,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PE,56,https://www.camara.gov.br/internet/deputado/bandep/204426.jpg,0.2099235951900482,0.4971943795681,0.1760435998439788,#FF0000,15.0,54.0,469.0,114.0,281.0,260.0,137.0,305.0,158.0,155.0,0.5676808222387384,Carlos,Masculino
52,52,141398,https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,https://www.camara.gov.br/internet/deputado/bandep/141398.jpg,0.3135747611522674,0.377218633890152,0.3379387557506561,#FF0000,40.0,27.0,310.0,469.0,54.0,15.0,402.0,290.0,260.0,354.0,0.5956724193916952,Carlos,Masculino
53,53,164360,https://dadosabertos.camara.leg.br/api/v2/deputados/164360,Carmen Zanotto,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905,SC,56,https://www.camara.gov.br/internet/deputado/bandep/164360.jpg,-0.194632425904274,0.122037261724472,-0.1576945930719375,#FFC0CB,,,,,,,,,,,0.2786439648488981,Carmen,Feminino
54,54,204370,https://dadosabertos.camara.leg.br/api/v2/deputados/204370,Célio Moura,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,TO,56,https://www.camara.gov.br/internet/deputado/bandep/204370.jpg,0.1023077219724655,0.3968411982059479,0.3194473087787628,#FF0000,34.0,469.0,137.0,260.0,27.0,40.0,204.0,155.0,114.0,267.0,0.5196117682026861,Célio,Masculino
55,55,204488,https://dadosabertos.camara.leg.br/api/v2/deputados/204488,Célio Studart,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,CE,56,https://www.camara.gov.br/internet/deputado/bandep/204488.jpg,-0.1190370544791221,0.4018386602401733,-0.3034400343894958,#BDB76B,,,,,,,,,,,0.5174166441785395,Célio,Masculino
56,56,73441,https://dadosabertos.camara.leg.br/api/v2/deputados/73441,Celso Russomanno,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SP,56,https://www.camara.gov.br/internet/deputado/bandep/73441.jpg,0.0600968413054943,-0.4154965877532959,0.1665203273296356,#FF7F00,48.0,180.0,192.0,210.0,275.0,423.0,,,,,0.4516393076156005,Celso,Masculino
57,57,204496,https://dadosabertos.camara.leg.br/api/v2/deputados/204496,Celso Sabino,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PA,56,https://www.camara.gov.br/internet/deputado/bandep/204496.jpg,-0.2296822816133499,-0.0157396495342254,-0.3669557273387909,#8B4513,,,,,,,,,,,0.4331953287851976,Celso,Masculino
58,58,204504,https://dadosabertos.camara.leg.br/api/v2/deputados/204504,Cezinha de Madureira,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204504.jpg,0.2625613212585449,-0.1096923053264617,-0.0241301544010639,#BDB76B,217.0,351.0,184.0,194.0,138.0,135.0,99.0,150.0,201.0,384.0,0.285575057769907,Cezinha,Feminino
59,59,205476,https://dadosabertos.camara.leg.br/api/v2/deputados/205476,Charles Fernandes,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,56,https://www.camara.gov.br/internet/deputado/bandep/205476.jpg,0.076993778347969,0.0499160848557949,0.0126890987157821,#BDB76B,217.0,135.0,241.0,138.0,201.0,194.0,72.0,351.0,99.0,322.0,0.0926319095012402,Charles,Masculino
60,60,204490,https://dadosabertos.camara.leg.br/api/v2/deputados/204490,Charlles Evangelista,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204490.jpg,-0.085400179028511,-0.2982193231582641,-0.12079319357872,#00BFFF,176.0,220.0,118.0,150.0,234.0,332.0,138.0,99.0,37.0,157.0,0.3328948045524607,Charlles,Masculino
61,61,141439,https://dadosabertos.camara.leg.br/api/v2/deputados/141439,Chico D`Angelo,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/141439.jpg,0.2018457651138305,0.2952201068401336,-0.1670694798231125,#2E8B57,,,,,,,,,,,0.3947262791675428,Chico,Masculino
62,62,204462,https://dadosabertos.camara.leg.br/api/v2/deputados/204462,Chris Tonietto,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204462.jpg,-0.0086124232038855,-0.3790108859539032,-0.0755450129508972,#8B0000,332.0,195.0,68.0,176.0,234.0,220.0,377.0,227.0,99.0,44.0,0.3865623811065384,Chris,Desconhecido
63,63,178928,https://dadosabertos.camara.leg.br/api/v2/deputados/178928,Christiane de Souza Yared,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PR,56,https://www.camara.gov.br/internet/deputado/bandep/178928.jpg,0.2296445220708847,-0.0929222255945205,-0.0489903204143047,#00BFFF,201.0,217.0,99.0,351.0,194.0,138.0,234.0,273.0,135.0,37.0,0.2525295983066148,Christiane,Feminino
64,64,204440,https://dadosabertos.camara.leg.br/api/v2/deputados/204440,Christino Aureo,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204440.jpg,0.1892911344766616,-0.265133261680603,0.0748759508132934,#00BFFF,194.0,351.0,352.0,217.0,201.0,241.0,152.0,135.0,2.0,111.0,0.3342651463300525,Christino,Masculino
65,65,178939,https://dadosabertos.camara.leg.br/api/v2/deputados/178939,Clarissa Garotinho,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/178939.jpg,-0.1472101062536239,0.0894669219851493,-0.0514758080244064,#8B4513,,,,,,,,,,,0.1797912798899478,Clarissa,Feminino
66,66,74537,https://dadosabertos.camara.leg.br/api/v2/deputados/74537,Claudio Cajado,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,BA,56,https://www.camara.gov.br/internet/deputado/bandep/74537.jpg,-0.0446340925991535,-0.0827378258109092,-0.1956413239240646,#00BFFF,217.0,2.0,351.0,273.0,194.0,37.0,21.0,117.0,99.0,138.0,0.2170559321207944,Claudio,Masculino
67,67,141408,https://dadosabertos.camara.leg.br/api/v2/deputados/141408,Cleber Verde,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MA,56,https://www.camara.gov.br/internet/deputado/bandep/141408.jpg,0.2004731744527816,-0.2289264351129531,0.2036118358373642,#FF7F00,275.0,210.0,48.0,192.0,423.0,351.0,180.0,194.0,273.0,247.0,0.366134655641558,Cleber,Masculino
68,68,204376,https://dadosabertos.camara.leg.br/api/v2/deputados/204376,Coronel Armando,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SC,56,https://www.camara.gov.br/internet/deputado/bandep/204376.jpg,-0.0110985720530152,-0.142570674419403,0.0202217400074005,#8B0000,37.0,138.0,99.0,150.0,217.0,122.0,234.0,220.0,379.0,117.0,0.144424701055416,Coronel,Masculino
69,69,204514,https://dadosabertos.camara.leg.br/api/v2/deputados/204514,Coronel Tadeu,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204514.jpg,-0.1711295992136001,-0.3934935331344604,0.0798250585794448,#8B0000,234.0,37.0,220.0,138.0,332.0,68.0,176.0,227.0,99.0,150.0,0.4364568023560405,Coronel,Masculino
70,70,178963,https://dadosabertos.camara.leg.br/api/v2/deputados/178963,Covatti Filho,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RS,56,https://www.camara.gov.br/internet/deputado/bandep/178963.jpg,-0.0737385302782058,-0.3446890413761139,0.2044279724359512,#00BFFF,351.0,194.0,37.0,122.0,217.0,150.0,117.0,220.0,273.0,138.0,0.4074784681509543,Covatti,Masculino
